Label,Zero Crossing Rate,Spectral Centroid,Spectral Rolloff,MFCC 1,MFCC 2,MFCC 3,MFCC 4,MFCC 5,MFCC 6,MFCC 7,MFCC 8,MFCC 9,MFCC 10,MFCC 11,MFCC 12,MFCC 13,Chroma 1,Chroma 2,Chroma 3,Chroma 4,Chroma 5,Chroma 6,Chroma 7,Chroma 8,Chroma 9,Chroma 10,Chroma 11,Chroma 12,Pitch,Intensity
angry,0.08919313440772252,4497.044091910002,9171.54777486911,-542.4271,79.08205,-9.687261,12.713943,4.794102,10.660156,-6.412248,-0.13605487,-9.137848,-7.085072,-2.828297,-6.2420015,-6.024363,0.50685513,0.5038673,0.48779768,0.43820646,0.45889574,0.4611437,0.5102558,0.5181744,0.57861155,0.53313476,0.47402966,0.49358213,144.9579665871868,0.008426247
neutral,0.05509845811950147,4876.75482339012,9352.456011730204,-675.8518,68.959435,-4.962602,5.423141,0.609842,3.1607316,-9.528843,2.6474686,-9.230494,-3.4923794,-2.775557,-0.8583371,-3.2529047,0.40752056,0.370773,0.38555482,0.41487262,0.43048096,0.4430653,0.47362489,0.49075708,0.47140476,0.41687137,0.40215138,0.39769801,231.5865357365303,0.0033448308
disgusted,0.09326429543205805,5059.046804356841,10263.646108179419,-573.582,84.51252,-9.768131,10.765003,0.062496617,11.318466,-10.694776,0.8141932,-9.129472,-3.4155087,-3.7065914,-1.5936701,3.0000844,0.43738565,0.48529607,0.48595604,0.4764812,0.5136335,0.51857126,0.5885347,0.58373153,0.57751346,0.53443414,0.5038345,0.457511,159.8103845236204,0.004934747
disgusted,0.06460921490778689,3992.2949074353137,7911.3089139344265,-628.2414,59.146286,-3.4290037,7.1251993,-4.9693146,2.9737241,-8.271731,1.3791871,-6.1414022,-5.632515,-8.136983,-2.4559796,-3.0034993,0.33176318,0.2934506,0.29055762,0.31986704,0.35994667,0.359336,0.34365857,0.35016546,0.3947225,0.36711004,0.33821094,0.35189164,229.53138080883608,0.0049165944
sad,0.03940700954861111,6355.887483887831,11777.799479166666,-715.8727,74.9853,2.9195244,11.441712,6.960729,13.466071,-6.72605,4.7315598,-6.0603504,-5.0608444,-7.6180463,-3.5482144,-1.2796028,0.6440981,0.65070504,0.611989,0.58343184,0.54570335,0.49941617,0.48809263,0.51743394,0.54013115,0.5707671,0.6181448,0.613414,211.62677847596953,0.0020295018
surprised,0.0349639892578125,7174.304330053967,13011.767578125,-679.2995,64.041115,2.5253556,9.743006,2.0743146,10.626677,-5.171599,0.63715845,-5.934023,-3.8285365,-6.006711,-5.4047394,1.9098551,0.59319377,0.62247497,0.60111797,0.60281384,0.6312844,0.62899697,0.6439745,0.66627496,0.6145159,0.5967577,0.60233104,0.5732644,231.12577244681773,0.0029146448
happy,0.05570150738113497,6697.877341293152,12494.560007668711,-679.53876,78.69846,0.6677381,10.390019,5.2070208,11.525229,-7.0435305,2.0349188,-6.76945,-3.452317,-8.604058,-2.1430967,2.1536028,0.62920594,0.6650141,0.61839175,0.6030723,0.6470354,0.6338996,0.58483344,0.55733067,0.541521,0.5325644,0.56372136,0.5974057,213.1422351195614,0.004056211
angry,0.06871088279061624,5861.420518820162,11506.69642857143,-583.9638,73.541756,-4.8610735,13.352509,5.8811965,13.631638,-11.971299,-0.07458227,-0.5113358,1.731417,-2.8484917,-1.6721637,1.4208887,0.51627403,0.5288485,0.57506675,0.63637894,0.6315979,0.59053546,0.6214004,0.616241,0.5554441,0.5075085,0.5092767,0.5244328,201.46844600934992,0.009094225
neutral,0.06348436251996806,6393.912991792558,12077.276357827475,-767.4759,73.5274,-14.756846,3.7603445,2.179436,7.1440024,-11.641492,-3.9296548,-6.341086,-7.774187,-2.549265,-1.2185841,-3.3801293,0.52656066,0.45505074,0.4694929,0.5505254,0.5578921,0.58135754,0.53873694,0.51298857,0.54226285,0.5421955,0.61291355,0.5471139,250.29890397657647,0.0015208906
surprised,0.07735580995858433,4882.274243055042,9593.561746987953,-601.55707,56.22707,-14.788618,5.832396,-0.54478705,1.7596616,-13.9631815,3.9500954,-7.4126754,-1.8806309,-2.5381289,-3.536913,-2.9707386,0.41896352,0.40761244,0.3721116,0.35334778,0.39076453,0.43392968,0.4345419,0.43851784,0.4427313,0.4426251,0.48559597,0.4519222,216.29749841050386,0.006677238
